SL. NO.,NAME OF THE DISTRICT,NUMBER  OF UNITS,ALLOTTED STRENGTH,NO. OF HOME GUARDS(men),NO. OF HOME GUARDS(women),ACTUAL STRENGTH,VACANCY
1,Bengaluru North,18,1850,834,782,1616,234
2,Bengaluru Rural,15,1650,949,432,1381,269
3,Bengaluru South,15,1850,1071,733,1804,46
4,Bagalkote,23,1000,888,97,985,15
5,Belagavi,30,1350,1234,61,1295,55
6,Ballari,22,1500,1378,100,1478,22
7,Bidar,15,1000,852,125,977,23
8,Chikkmagaluru,20,800,474,62,536,264
9,Chamarajanagar,9,700,630,64,694,6
10,Chithradurga,14,700,566,55,621,79
11,Chikkaballapura,7,700,446,92,538,162
12,Dharwad,8,800,493,137,630,170
13,Davanagere,14,651,569,63,632,19
14,Dakshina Kannada,15,1000,625,240,865,135
15,Gadag,11,700,700,0,700,0
16,Kalaburgi,9,1000,905,87,992,8
17,Hassan,30,1200,1064,70,1134,66
18,Haveri,8,700,498,51,549,151
19,Kodagu,9,500,193,59,252,248
20,Kolar,10,1200,755,133,888,312
21,Koppal,14,700,634,61,695,5
22,Mandya,12,949,705,68,773,176
23,Mysore,13,1300,932,151,1083,217
24,Raichur,11,800,726,33,759,41
25,Ramanagar,9,700,365,142,507,193
26,Shivamogga,15,1000,713,73,786,214
27,Tumakuru,18,900,723,109,832,68
28,Udupi,8,500,366,63,429,71
29,Uttara Kannada,15,900,578,78,656,244
30,Vijayapura,12,800,688,51,739,61
31,Yadagiri,7,600,523,0,523,77
